;n;m;k;g1_1;g2_1;start_1;end_1;g1_2;g2_2;start_2;end_2
0;10000;3;500;356.1784999999978;401.04999999999836;0;500;395.6224999999974;400.24789999999837;4001;4500
0;10000;3;1000;709.1174999999971;802.0999999999963;0;1000;787.9549999999931;801.2978999999963;4001;5000
0;10000;3;1500;1065.295999999998;1203.1500000000196;0;1500;749.4075999999686;1202.3479000000195;4501;6000
0;10000;3;2000;1429.2492999999981;1604.2000000000744;0;2000;1145.8525999999642;1603.3979000000743;4001;6000
0;10000;3;2500;1780.2445999999995;2005.2500000001291;0;2500;2000.3199999999797;2004.447900000129;2501;5000
0;10000;3;3000;2131.23990000002;2406.3000000000825;0;3000;1953.5475999999553;2405.4979000000826;3001;6000
0;10000;3;3500;2484.8268000000944;2807.3500000000236;0;3500;2103.5255999999545;2806.5479000000237;3501;7000
0;10000;3;4000;2837.117900000168;3208.3999999999646;0;4000;2523.000600000066;3207.5978999999647;4001;8000
0;10000;3;4500;3189.4090000002416;3609.4499999999057;0;4500;2939.211700000176;3608.647899999906;4501;9000
0;10000;3;5000;3535.4478000003137;4010.4999999998468;0;5000;3358.715700000336;4009.697899999847;5001;10000
0;10000;3;5500;3877.7709000003833;4411.549999999788;0;5500;4395.074100000621;4411.549999999788;0;5500
0;10000;3;6000;4232.65360000047;4812.599999999729;0;6000;4396.5241000008255;4812.599999999729;0;6000
0;10000;3;6500;4590.775800000584;5213.64999999967;0;6500;4540.744600000995;5213.64999999967;0;6500
0;10000;3;7000;4944.362700000699;5614.6999999996115;0;7000;4951.172100001104;5614.6999999996115;0;7000
0;10000;3;7500;5297.949600000814;6015.7499999995525;0;7500;5362.422100001213;6015.7499999995525;0;7500
0;10000;3;8000;5656.071800000928;6416.799999999494;0;8000;5773.672100001322;6416.799999999494;0;8000
0;10000;3;8500;6010.306600001043;6817.849999999435;0;8500;6184.099600001431;6817.849999999435;0;8500
0;10000;3;9000;6360.880700001159;7218.899999999376;0;9000;6586.3282000015415;7218.899999999376;0;9000
0;10000;3;9500;6713.819700001274;7619.949999999317;0;9500;6995.93320000165;7619.949999999317;0;9500
0;10000;4;500;247.0693000000015;380.5999999999964;0;500;235.75310000000135;380.5999999999964;0;500
0;10000;4;1000;497.7827999999984;761.200000000002;0;1000;471.2185000000029;761.200000000002;0;1000
0;10000;4;1500;749.8389000000099;1141.7999999999997;0;1500;707.0675000000094;1141.7999999999997;0;1500
0;10000;4;2000;1002.7581000000224;1522.3999999999583;0;2000;933.979400000015;1522.3999999999583;0;2000
0;10000;4;2500;1257.1157999999832;1902.9999999999168;0;2500;1160.6705999999863;1902.9999999999168;0;2500
0;10000;4;3000;1511.1857999999393;2283.5999999998753;0;3000;1384.3796999999352;2283.5999999998753;0;3000
0;10000;4;3500;1765.0639999998953;2664.199999999834;0;3500;1606.3625999998835;2664.199999999834;0;3500
0;10000;4;4000;2018.079099999851;3044.7999999997924;0;4000;1827.156599999832;3044.7999999997924;0;4000
0;10000;4;4500;2271.861399999848;3425.399999999751;0;4500;2044.3457999997813;3425.399999999751;0;4500
0;10000;4;5000;2519.440499999852;3805.9999999997094;0;5000;2259.281999999838;3805.9999999997094;0;5000
0;10000;4;5500;2767.946799999855;4186.599999999668;0;5500;2454.5222999998887;4186.599999999668;0;5500
0;10000;4;6000;3019.523399999862;4567.199999999627;0;6000;2455.9722999998658;4567.199999999627;0;6000
0;10000;4;6500;3270.2368999998703;4947.799999999585;0;6500;2535.8511999998723;4947.799999999585;0;6500
0;10000;4;7000;3520.9503999998788;5328.399999999544;0;7000;2760.7005999999333;5328.399999999544;0;7000
0;10000;4;7500;3771.1843999998882;5708.9999999995025;0;7500;2986.0005999999944;5708.9999999995025;0;7500
0;10000;4;8000;4020.5552999998995;6089.599999999461;0;8000;3211.3006000000555;6089.599999999461;0;8000
0;10000;4;8500;4270.981099999992;6470.19999999942;0;8500;3436.1500000001165;6470.19999999942;0;8500
0;10000;4;9000;4516.450400000122;6850.799999999378;0;9000;3656.519500000176;6850.799999999378;0;9000
0;10000;4;9500;4766.87620000025;7231.399999999337;0;9500;3880.9183000002367;7231.399999999337;0;9500
0;10000;5;500;252.1577999999994;367.099999999996;0;500;239.3349999999997;367.099999999996;0;500
0;10000;5;1000;539.6327999999954;734.1999999999896;0;1000;479.91499999999206;734.1999999999896;0;1000
0;10000;5;1500;830.12300000001;1101.2999999999952;0;1500;711.7799999999936;1101.2999999999952;0;1500
0;10000;5;2000;1121.31190000003;1468.4000000000456;0;2000;922.4083999999934;1468.4000000000456;0;2000
0;10000;5;2500;1420.53820000006;1835.500000000096;0;2500;1128.760400000012;1835.500000000096;0;2500
0;10000;5;3000;1718.23580000009;2202.6000000000986;0;3000;1320.1366000000507;2202.6000000000986;0;3000
0;10000;5;3500;2020.7821000001197;2569.7000000000353;0;3500;1491.1778000000913;2569.7000000000353;0;3500
0;10000;5;4000;2319.7247000000466;2936.799999999972;0;4000;1640.0618000001336;2936.799999999972;0;4000
0;10000;5;4500;2619.628599999963;3303.8999999999087;0;4500;1780.4120000001758;3303.8999999999087;0;4500
0;10000;5;5000;2912.546599999881;3670.9999999998454;0;5000;1918.0742000002176;3670.9999999998454;0;5000
0;10000;5;5500;3204.352899999799;4038.099999999782;0;5500;2043.1685000002535;4038.099999999782;0;5500
0;10000;5;6000;3496.655499999716;4405.199999999719;0;6000;2044.6185000002306;4405.199999999719;0;6000
0;10000;5;6500;3785.6380999996336;4772.2999999996555;0;6500;2096.8815000001932;4772.2999999996555;0;6500
0;10000;5;7000;4072.8082999995513;5139.399999999592;0;7000;2255.0029000001223;5139.399999999592;0;7000
0;10000;5;7500;4353.46979999947;5506.499999999529;0;7500;2412.1679000000513;5506.499999999529;0;7500
0;10000;5;8000;4641.186299999387;5873.599999999466;0;8000;2563.107899999981;5873.599999999466;0;8000
0;10000;5;8500;4928.356499999305;6240.699999999402;0;8500;2709.194299999911;6240.699999999402;0;8500
0;10000;5;9000;5209.502099999228;6607.799999999339;0;9000;2850.760799999842;6607.799999999339;0;9000
0;10000;5;9500;5498.768399999146;6974.899999999276;0;9500;2995.7285999997725;6974.899999999276;0;9500
0;10000;6;500;193.07499999999857;354.2499999999998;0;500;222.8144999999983;354.2499999999998;0;500
0;10000;6;1000;416.7408000000046;708.4999999999915;0;1000;447.29670000000783;708.4999999999915;0;1000
0;10000;6;1500;650.0197000000062;1062.7499999999707;0;1500;667.5789000000085;1062.7499999999707;0;1500
0;10000;6;2000;887.0030000000016;1416.9999999999498;0;2000;873.7625000000058;1416.9999999999498;0;2000
0;10000;6;2500;1124.0086000000092;1771.2499999999288;0;2500;1072.7921000000042;1771.2499999999288;0;2500
0;10000;6;3000;1362.743400000034;2125.4999999999327;0;3000;1264.751899999998;2125.4999999999327;0;3000
0;10000;6;3500;1605.0186000000595;2479.7500000000255;0;3500;1433.3674999999826;2479.7500000000255;0;3500
0;10000;6;4000;1845.5236000000846;2834.0000000001182;0;4000;1565.7119999999534;2834.0000000001182;0;4000
0;10000;6;4500;2082.137900000095;3188.250000000211;0;4500;1674.4483999999163;3188.250000000211;0;4500
0;10000;6;5000;2312.1364000000253;3542.5000000003038;0;5000;1770.9694999998753;3542.5000000003038;0;5000
0;10000;6;5500;2540.454399999955;3896.7500000003965;0;5500;1856.010599999835;3896.7500000003965;0;5500
0;10000;6;6000;2774.1245999998846;4251.00000000039;0;6000;1857.460599999812;4251.00000000039;0;6000
0;10000;6;6500;3007.8972999998145;4605.250000000256;0;6500;1902.885799999786;4605.250000000256;0;6500
0;10000;6;7000;3239.364999999744;4959.500000000121;0;7000;2051.252099999761;4959.500000000121;0;7000
0;10000;6;7500;3464.7804999996747;5313.749999999986;0;7500;2199.3811999997097;5313.749999999986;0;7500
0;10000;6;8000;3695.527099999605;5667.999999999852;0;8000;2338.8642999996596;5667.999999999852;0;8000
0;10000;6;8500;3927.8798999995347;6022.249999999717;0;8500;2462.1571999996117;6022.249999999717;0;8500
0;10000;6;9000;4157.589599999517;6376.4999999995825;0;9000;2580.499099999565;6376.4999999995825;0;9000
0;10000;6;9500;4390.333699999632;6730.749999999448;0;9500;2705.326099999517;6730.749999999448;0;9500
0;10000;7;500;169.88640000000004;341.9499999999977;0;500;177.5126000000002;341.9499999999977;0;500
0;10000;7;1000;363.62040000000155;683.8999999999949;0;1000;353.44419999999957;683.8999999999949;0;1000
0;10000;7;1500;565.435399999999;1025.849999999992;0;1500;519.4937999999956;1025.849999999992;0;1500
0;10000;7;2000;764.6157999999865;1367.799999999989;0;2000;679.6849999999753;1367.799999999989;0;2000
0;10000;7;2500;968.3191999999747;1709.7499999999861;0;2500;841.0724999999545;1709.7499999999861;0;2500
0;10000;7;3000;1172.417999999967;2051.6999999999834;0;3000;996.6758999999339;2051.6999999999834;0;3000
0;10000;7;3500;1379.2173999999598;2393.6499999999805;0;3500;1136.138699999939;2393.6499999999805;0;3500
0;10000;7;4000;1585.1605999999526;2735.5999999999776;0;4000;1248.0210999999606;2735.5999999999776;0;4000
0;10000;7;4500;1790.071599999946;3077.5499999999747;0;4500;1338.8492999999905;3077.5499999999747;0;4500
0;10000;7;5000;1990.187799999939;3419.499999999972;0;5000;1408.6542000000293;3419.499999999972;0;5000
0;10000;7;5500;2193.297799999935;3761.449999999969;0;5500;1470.3406000000632;3761.449999999969;0;5500
0;10000;7;6000;2395.5961999999336;4103.399999999966;0;6000;1471.7906000000403;4103.399999999966;0;6000
0;10000;7;6500;2597.6971999999346;4445.349999999963;0;6500;1511.172300000034;4445.349999999963;0;6500
0;10000;7;7000;2796.3061999999313;4787.29999999996;0;7000;1642.2526000000482;4787.29999999996;0;7000
0;10000;7;7500;2995.66199999993;5129.249999999957;0;7500;1774.441200000062;5129.249999999957;0;7500
0;10000;7;8000;3193.3487999999275;5471.199999999954;0;8000;1895.430200000081;5471.199999999954;0;8000
0;10000;7;8500;3393.8241999999227;5813.149999999951;0;8500;2008.3935000001034;5813.149999999951;0;8500
