;n;m;k;g1_1;g2_1;start_1;end_1;g1_2;g2_2;start_2;end_2
0;500;100;100;0;0.2040000000000001;281201;281300;0;0.036;5501;5600
0;500;100;200;0;0.7980000000000006;281201;281400;0;0.078;5601;5800
0;500;100;300;0;0.7980000000000006;281101;281400;0;0.40200000000000025;5701;6000
0;500;100;400;0;2.016000000000001;281201;281600;0;0.40800000000000025;5601;6000
0;500;200;100;0;0.1360000000000001;281201;281300;0.0;0.016;5401;5500
0;500;200;200;0;0.5320000000000004;281201;281400;0.0;0.038000000000000006;5401;5600
0;500;200;300;0;0.5320000000000004;281101;281400;0.0;0.04000000000000001;5401;5700
0;500;200;400;0;1.328000000000001;281201;281600;0.0;0.038000000000000006;5201;5600
0;1000;100;100;0;0.001;278601;278700;0.047000000000000035;3.046;5401;5500
0;1000;100;200;0;0.001;278601;278800;0.047000000000000035;6.699999999999999;5401;5600
0;1000;100;300;0;0.001;278401;278700;0.047000000000000035;7.308999999999999;5401;5700
0;1000;100;400;0;0.001;278401;278800;0.23900000000000018;6.699999999999999;5201;5600
0;1000;100;500;0;0.001;278501;279000;0.43200000000000033;3.046;5001;5500
0;1000;100;600;0;0.001;278401;279000;0.047000000000000035;38.97700000000006;5401;6000
0;1000;100;700;0;0.001;278601;279300;0.5270000000000004;6.699999999999999;4901;5600
0;1000;100;800;0;0.001;278401;279200;0.6240000000000004;6.699999999999999;4801;5600
0;1000;100;900;0;0.001;278101;279000;0.047000000000000035;63.33700000000013;5401;6300
0;1000;200;100;0.0;0.001;0;100;0.0;3.04;5401;5500
0;1000;200;200;0.001;0.003;0;200;0.0;6.687999999999999;5401;5600
0;1000;200;300;0.001;0.004;0;300;0.0;7.2959999999999985;5401;5700
0;1000;200;400;0.001;0.004;0;400;0.0;6.687999999999999;5201;5600
0;1000;200;500;0.001;0.005;0;500;0.0;3.04;5001;5500
0;1000;200;600;0.001;0.005;0;600;0.0;38.911999999999985;5401;6000
0;1000;200;700;0.001;0.005;0;700;0.0;6.687999999999999;4901;5600
0;1000;200;800;0.001;0.005;0;800;0.0;6.687999999999999;4801;5600
0;1000;200;900;0.001;0.005;0;900;0.0;62.624999999999865;5401;6300
0;1000;300;100;0.0;0.013000000000000005;0;100;0.0;0.001;401;500
0;1000;300;200;0.001;0.02900000000000002;0;200;0.0;0.001;401;600
0;1000;300;300;0.001;0.03900000000000003;0;300;0.0;0.001;301;600
0;1000;300;400;0.001;0.05500000000000004;0;400;0.0;0.005;401;800
0;1000;300;500;0.001;0.07200000000000005;0;500;0.0;0.001;0;500
0;1000;300;600;0.001;0.08400000000000006;0;600;0.0;0.001;0;600
0;1000;300;700;0.001;0.10300000000000008;0;700;0.0;0.005;0;700
0;1000;300;800;0.001;0.11800000000000009;0;800;0.0;0.005;0;800
0;1000;300;900;0.001;0.1310000000000001;0;900;0.0;0.008;0;900
0;1000;400;100;0.0;0.003;0;100;0.0;3.025;5401;5500
0;1000;400;200;0.001;0.010000000000000002;0;200;0.0;6.655000000000001;5401;5600
0;1000;400;300;0.001;0.013000000000000005;0;300;0.0;7.260000000000002;5401;5700
0;1000;400;400;0.001;0.02000000000000001;0;400;0.0;6.655000000000001;5201;5600
0;1000;400;500;0.001;0.026000000000000016;0;500;0.0;3.025;5001;5500
0;1000;400;600;0.001;0.03300000000000002;0;600;0.0;38.11799999999999;5401;6000
0;1000;400;700;0.001;0.03900000000000003;0;700;0.0;6.655000000000001;4901;5600
0;1000;400;800;0.001;0.04300000000000003;0;800;0.0;6.655000000000001;4801;5600
0;1000;400;900;0.001;0.04900000000000004;0;900;0.0;61.11099999999987;5401;6300
0;1500;100;100;0;0.009333333333333332;278601;278700;0.06266666666666663;2.030666666666667;5401;5500
0;1500;100;200;0;0.009333333333333332;278601;278800;0.06266666666666663;4.466666666666667;5401;5600
0;1500;100;300;0;0.009333333333333332;278401;278700;0.06266666666666663;4.8726666666666665;5401;5700
0;1500;100;400;0;0.009333333333333332;278401;278800;0.31866666666666715;4.466666666666667;5201;5600
0;1500;100;500;0;0.009333333333333332;278501;279000;0.5760000000000011;2.030666666666667;5001;5500
0;1500;100;600;0;0.009333333333333332;278401;279000;0.06266666666666663;25.984666666666648;5401;6000
0;1500;100;700;0;0.017333333333333326;278601;279300;0.7026666666666643;4.466666666666667;4901;5600
0;1500;100;800;0;0.009333333333333332;278401;279200;0.8319999999999942;4.466666666666667;4801;5600
0;1500;100;900;0;0.009333333333333332;278101;279000;0.06266666666666663;42.2246666666666;5401;6300
0;1500;100;1000;0;0.009333333333333332;278001;279000;0.5760000000000011;25.984666666666648;5001;6000
0;1500;100;1100;0;0.09999999999999999;278301;279400;1.3400000000000087;2.030666666666667;4401;5500
0;1500;100;1200;0;1.6313333333333335;278401;279600;0.8319999999999942;25.984666666666648;4801;6000
0;1500;100;1300;0;0.7186666666666669;278201;279500;0.5520000000000017;43.0366666666666;5201;6500
0;1500;100;1400;0;3.75866666666666;278601;280000;1.5933333333333564;4.466666666666667;4201;5600
0;1500;200;100;0.0;0.0006666666666666666;0;100;0.0;2.0266666666666664;5401;5500
0;1500;200;200;0.0006666666666666666;0.002;0;200;0.0;4.458666666666665;5401;5600
0;1500;200;300;0.0006666666666666666;0.0026666666666666666;0;300;0.0;4.863999999999998;5401;5700
0;1500;200;400;0.0006666666666666666;0.0026666666666666666;0;400;0.0;4.458666666666665;5201;5600
0;1500;200;500;0.0006666666666666666;0.003333333333333333;0;500;0.0;2.0266666666666664;5001;5500
0;1500;200;600;0.0006666666666666666;0.003333333333333333;0;600;0.0;25.941333333333365;5401;6000
0;1500;200;700;0.0006666666666666666;0.003333333333333333;0;700;0.0;4.458666666666665;4901;5600
0;1500;200;800;0.0006666666666666666;0.003333333333333333;0;800;0.0;4.458666666666665;4801;5600
0;1500;200;900;0.0006666666666666666;0.003333333333333333;0;900;0.0;41.75000000000001;5401;6300
0;1500;200;1000;0.0006666666666666666;0.003333333333333333;0;1000;0.0;25.941333333333365;5001;6000
0;1500;200;1100;0.0006666666666666666;0.003333333333333333;0;1100;0.0;2.0266666666666664;4401;5500
0;1500;200;1200;0.0006666666666666666;0.004;0;1200;0.0;25.941333333333365;4801;6000
0;1500;200;1300;0.0006666666666666666;0.004;0;1300;0.0;42.56066666666667;5201;6500
0;1500;200;1400;0.0006666666666666666;0.004;0;1400;0.0;4.458666666666665;4201;5600
0;1500;300;100;0.0;0.008666666666666668;0;100;0.0;0.0006666666666666666;401;500
0;1500;300;200;0.0006666666666666666;0.019333333333333327;0;200;0.0;0.0006666666666666666;401;600
0;1500;300;300;0.0006666666666666666;0.02599999999999999;0;300;0.0;0.0006666666666666666;301;600
0;1500;300;400;0.0006666666666666666;0.036666666666666674;0;400;0.0;0.003333333333333333;401;800
0;1500;300;500;0.0006666666666666666;0.048000000000000057;0;500;0.0;0.0006666666666666666;0;500
0;1500;300;600;0.0006666666666666666;0.05600000000000009;0;600;0.0;0.0006666666666666666;0;600
0;1500;300;700;0.0006666666666666666;0.06866666666666675;0;700;0.0;0.003333333333333333;0;700
0;1500;300;800;0.0006666666666666666;0.07866666666666669;0;800;0.0;0.003333333333333333;0;800
0;1500;300;900;0.0006666666666666666;0.0873333333333333;0;900;0.0;0.005333333333333334;0;900
0;1500;300;1000;0.0006666666666666666;0.09733333333333324;0;1000;0.0;0.005333333333333334;0;1000
0;1500;300;1100;0.0006666666666666666;0.10266666666666655;0;1100;0.0;0.005333333333333334;0;1100
0;1500;300;1200;0.0006666666666666666;0.11266666666666648;0;1200;0.0;0.006000000000000001;0;1200
0;1500;300;1300;0.0006666666666666666;0.12466666666666641;0;1300;0.0;0.006000000000000001;0;1300
0;1500;300;1400;0.0006666666666666666;0.13133333333333316;0;1400;0.0;0.006000000000000001;0;1400
0;1500;400;100;0.0;0.002;0;100;0.0;2.0166666666666666;5401;5500
0;1500;400;200;0.0006666666666666666;0.006666666666666668;0;200;0.0;4.4366666666666665;5401;5600
0;1500;400;300;0.0006666666666666666;0.008666666666666668;0;300;0.0;4.84;5401;5700
0;1500;400;400;0.0006666666666666666;0.01333333333333333;0;400;0.0;4.4366666666666665;5201;5600
0;1500;400;500;0.0006666666666666666;0.01733333333333333;0;500;0.0;2.0166666666666666;5001;5500
0;1500;400;600;0.0006666666666666666;0.021999999999999992;0;600;0.0;25.41199999999996;5401;6000
0;1500;400;700;0.0006666666666666666;0.02599999999999999;0;700;0.0;4.4366666666666665;4901;5600
0;1500;400;800;0.0006666666666666666;0.028666666666666653;0;800;0.0;4.4366666666666665;4801;5600
0;1500;400;900;0.0006666666666666666;0.032666666666666656;0;900;0.0;40.74066666666667;5401;6300
0;1500;400;1000;0.0006666666666666666;0.03733333333333334;0;1000;0.0;25.41199999999996;5001;6000
0;1500;400;1100;0.0006666666666666666;0.03866666666666668;0;1100;0.0;2.0166666666666666;4401;5500
0;1500;400;1200;0.0006666666666666666;0.04200000000000003;0;1200;0.0;25.41199999999996;4801;6000
0;1500;400;1300;0.0006666666666666666;0.04733333333333339;0;1300;0.0;41.54733333333334;5201;6500
0;1500;400;1400;0.0006666666666666666;0.049333333333333396;0;1400;0.0;4.4366666666666665;4201;5600
0;1500;500;100;0.0;0.01866666666666666;0;100;0.0;0.004666666666666667;0;100
0;1500;500;200;0.0006666666666666666;0.04200000000000003;0;200;0.0;0.008666666666666668;0;200
0;1500;500;300;0.0006666666666666666;0.05933333333333344;0;300;0.0;0.011999999999999999;0;300
0;1500;500;400;0.0006666666666666666;0.08266666666666667;0;400;0.0;0.013999999999999997;0;400
0;1500;500;500;0.0006666666666666666;0.10733333333333318;0;500;0.0;0.021999999999999992;0;500
0;1500;500;600;0.0006666666666666666;0.12466666666666641;0;600;0.0;0.02399999999999999;0;600
0;1500;500;700;0.0006666666666666666;0.15200000000000014;0;700;0.0;0.03133333333333332;0;700
0;1500;500;800;0.0006666666666666666;0.17800000000000052;0;800;0.0;0.033333333333333326;0;800
0;1500;500;900;0.0006666666666666666;0.1986666666666675;0;900;0.0;0.03933333333333335;0;900
0;1500;500;1000;0.0006666666666666666;0.22800000000000126;0;1000;0.0;0.0426666666666667;0;1000
0;1500;500;1100;0.0006666666666666666;0.25266666666666815;0;1100;0.0;0.04666666666666672;0;1100
0;1500;500;1200;0.0006666666666666666;0.2806666666666674;0;1200;0.0;0.05333333333333341;0;1200
0;1500;500;1300;0.0006666666666666666;0.30999999999999994;0;1300;0.0;0.05666666666666676;0;1300
0;1500;500;1400;0.0006666666666666666;0.3339999999999993;0;1400;0.0;0.05866666666666677;0;1400
0;1500;600;100;0.0;0.008666666666666668;0;100;0.0;0.024666666666666656;0;100
0;1500;600;200;0.0006666666666666666;0.019999999999999993;0;200;0.0;0.04733333333333339;0;200
0;1500;600;300;0.0006666666666666666;0.02933333333333332;0;300;0.0;0.06866666666666675;0;300
0;1500;600;400;0.0006666666666666666;0.03733333333333334;0;400;0.0;0.09066666666666662;0;400
0;1500;600;500;0.0006666666666666666;0.04600000000000005;0;500;0.0;0.10999999999999983;0;500
0;1500;600;600;0.0006666666666666666;0.06400000000000011;0;600;0.0;0.1333333333333332;0;600
0;1500;600;700;0.0006666666666666666;0.07800000000000003;0;700;0.0;0.15066666666666678;0;700
0;1500;600;800;0.0006666666666666666;0.08933333333333329;0;800;0.0;0.1726666666666671;0;800
0;1500;600;900;0.0006666666666666666;0.10399999999999987;0;900;0.0;0.1926666666666674;0;900
0;1500;600;1000;0.0006666666666666666;0.11666666666666646;0;1000;0.0;0.21400000000000105;0;1000
0;1500;600;1100;0.0006666666666666666;0.13399999999999987;0;1100;0.0;0.23400000000000135;0;1100
0;1500;600;1200;0.0006666666666666666;0.1500000000000001;0;1200;0.0;0.2520000000000015;0;1200
0;1500;600;1300;0.0006666666666666666;0.16666666666666702;0;1300;0.0;0.27066666666666767;0;1300
0;1500;600;1400;0.0006666666666666666;0.18466666666666728;0;1400;0.0;0.2913333333333338;0;1400
0;1500;700;100;0.0;0.008000000000000002;0;100;0.0;0.022666666666666658;0;100
